City,Pincode,Gender,Age Group,COVID-19 like symptoms,COVID-19 Diagnosed
Pune,400065,Female,20-40,78684,279
Pune,560095,Male,20-40,80106,1425
Mumbai,560095,Male,60-80,41405,1056
Nagpur,410054,Female,20-40,23319,1782
Mumbai,410067,Male,40-60,55153,468
Bangalore,410067,Female,80+,87585,545
Bangalore,53000,Female,20-40,82943,1521
Pune,400065,Male,80+,58486,1219
Chennai,400074,Male,40-60,93415,828
Bangalore,410038,Female,60-80,37631,626
Kolkata,410038,Female,60-80,68587,1200
Pune,560095,Male,40-60,41282,401
Nagpur,410067,Female,40-60,12396,309
Pune,410067,Male,80+,77412,510
Bangalore,410067,Female,40-60,54397,1655
Bangalore,400065,Female,60-80,44435,1270
Bangalore,410038,Female,80+,76943,1213
Bangalore,400065,Male,40-60,14476,1843
Bangalore,410038,Male,40-60,62563,907
Bangalore,53000,Male,40-60,15070,810
Nagpur,560095,Male,60-80,33063,568
Bangalore,400065,Female,80+,16894,812
Mumbai,410067,Female,20-40,26353,1558
Nagpur,410038,Male,20-40,62570,1497
Pune,410054,Male,80+,95519,946
Kolkata,410067,Female,80+,65045,1715
Bangalore,410067,Male,80+,67237,1226
Kolkata,410054,Male,60-80,39481,1295
Bangalore,560095,Female,80+,20520,1398
Chennai,410038,Female,40-60,77436,770
Kolkata,410054,Male,80+,8808,1205
Bangalore,53000,Male,80+,15775,964
Kolkata,410054,Female,40-60,35582,1786
Bangalore,410067,Male,20-40,72895,560
Chennai,410067,Male,60-80,99970,360
Nagpur,560095,Male,80+,74145,1417
Mumbai,410054,Female,80+,79591,926
Nagpur,410038,Female,80+,49041,1410
Kolkata,410038,Female,80+,85780,1567
Mumbai,410038,Male,60-80,59886,902
Chennai,410054,Female,60-80,41461,1786
Chennai,400074,Male,80+,72461,1570
Pune,400074,Male,80+,11632,1028
Nagpur,400065,Male,20-40,83016,1736
Bangalore,410038,Male,20-40,82319,586
Pune,410054,Male,40-60,23496,1089
Nagpur,410067,Female,40-60,83709,957
Bangalore,400065,Male,40-60,44731,1613
Kolkata,410067,Female,60-80,43003,1148
Bangalore,560095,Female,40-60,11559,1308
Nagpur,410054,Female,20-40,73077,1478
Pune,400065,Female,80+,59134,578
Chennai,53000,Female,80+,39150,1581
Kolkata,560095,Female,60-80,48277,1660
Nagpur,410038,Female,20-40,95613,746
Bangalore,53000,Male,20-40,69133,1169
Bangalore,400074,Female,80+,89126,582
Chennai,560095,Female,20-40,89022,984
Kolkata,400065,Male,20-40,75482,1231
Kolkata,410054,Male,80+,52272,1556
Chennai,53000,Female,80+,55053,1282
Pune,53000,Female,60-80,26302,313
Bangalore,410067,Female,60-80,65229,1257
Bangalore,400065,Male,20-40,9205,1560
Bangalore,400074,Male,80+,46536,884
Kolkata,410038,Female,20-40,20587,653
Nagpur,400065,Male,80+,4500,1818
Kolkata,410067,Female,60-80,83088,437
Bangalore,410067,Female,20-40,24745,410
Kolkata,400074,Male,20-40,46725,805
Mumbai,53000,Male,20-40,59315,1474
Chennai,410054,Male,40-60,47841,1101
Mumbai,410054,Male,20-40,62619,1026
Mumbai,400074,Female,20-40,11805,238
Kolkata,410054,Male,80+,65150,1306
Bangalore,400065,Male,40-60,63834,461
Nagpur,400074,Male,20-40,82122,1001
Bangalore,560095,Female,80+,61156,983
Pune,410054,Male,80+,5355,401
Chennai,560095,Male,20-40,48216,1320
Nagpur,560095,Male,80+,17559,1835
Pune,560095,Female,80+,22281,1576
Kolkata,53000,Male,20-40,70550,307
Chennai,400065,Female,60-80,55495,1809
Kolkata,400065,Male,20-40,45987,1009
Kolkata,410054,Female,40-60,17514,1603
Nagpur,400065,Female,60-80,20122,1202
Kolkata,410054,Female,20-40,79486,828
Bangalore,560095,Female,20-40,75912,824
Pune,400074,Female,60-80,26869,482
Nagpur,53000,Female,40-60,82367,1866
Bangalore,410054,Female,60-80,41024,1811
Pune,400065,Male,60-80,39768,1685
Pune,400074,Male,40-60,52542,1244
Pune,53000,Male,40-60,83220,496
Chennai,410038,Male,80+,84544,434
Pune,560095,Female,80+,6505,1518
Pune,410067,Female,60-80,13906,1033
Mumbai,400065,Male,60-80,47204,336
Mumbai,410067,Male,40-60,21525,1214
Mumbai,560095,Male,20-40,51846,1209
Chennai,400074,Male,40-60,36082,1341
Bangalore,560095,Male,20-40,96244,1558
Pune,410038,Male,80+,46263,324
Pune,410038,Male,80+,27828,787
Bangalore,53000,Male,20-40,86489,957
Chennai,410067,Male,60-80,39465,1603
Chennai,560095,Male,60-80,39708,1571
Nagpur,53000,Female,60-80,43576,730
Chennai,410054,Female,40-60,48307,678
Pune,410067,Female,20-40,7546,1217
Chennai,410067,Female,20-40,55483,439
Chennai,560095,Female,80+,18145,903
Mumbai,410038,Female,60-80,67415,375
Bangalore,400074,Male,40-60,81885,578
Mumbai,53000,Male,40-60,69602,1541
Chennai,400074,Male,40-60,13007,939
Kolkata,410054,Female,60-80,66777,233
Pune,410038,Male,80+,84576,1060
Nagpur,400065,Female,20-40,27023,1528
Nagpur,410067,Male,60-80,78660,1250
Bangalore,410067,Female,80+,56043,1160
Mumbai,410067,Male,20-40,8927,1108
Mumbai,400065,Male,80+,33291,970
Mumbai,410038,Female,60-80,50711,1819
Chennai,560095,Male,20-40,98360,819
Nagpur,410054,Male,40-60,71087,612
Bangalore,400074,Female,60-80,22538,1018
Mumbai,410067,Male,40-60,51677,1824
Mumbai,53000,Male,60-80,94149,651
Mumbai,410054,Male,80+,74907,216
Chennai,400074,Female,40-60,46237,763
Mumbai,410067,Male,80+,84087,233
Kolkata,410054,Female,40-60,96111,1529
Chennai,410067,Male,20-40,46595,1562
Kolkata,410038,Female,20-40,38316,490
Chennai,560095,Male,80+,51083,726
Pune,560095,Female,20-40,80380,617
Chennai,53000,Male,40-60,67133,818
Nagpur,400065,Male,80+,25858,1745
Bangalore,53000,Female,60-80,8802,1133
Kolkata,410038,Female,60-80,69640,1642
Bangalore,560095,Female,80+,37247,269
Kolkata,410054,Female,40-60,57256,644
Chennai,410054,Male,20-40,74484,1027
Mumbai,410038,Male,80+,79348,1587
Mumbai,53000,Male,80+,32002,1314
Nagpur,410054,Male,80+,24085,1721
Kolkata,560095,Female,20-40,60805,436
Mumbai,410054,Male,60-80,27996,1071
Kolkata,53000,Male,20-40,39857,1143
Kolkata,400074,Female,20-40,97425,896
Bangalore,53000,Male,80+,66264,295
Chennai,410054,Male,20-40,5683,1673
Chennai,410038,Female,80+,8698,1099
Nagpur,410038,Female,20-40,88336,1187
Nagpur,410038,Female,20-40,90138,356
Pune,410067,Female,20-40,97554,1298
Nagpur,400065,Female,80+,19053,1603
Chennai,400074,Male,40-60,66890,1805
Kolkata,560095,Female,40-60,83019,1544
Pune,410067,Male,60-80,30881,958
Kolkata,410067,Female,20-40,60351,1394
Chennai,400065,Female,40-60,23430,831
Chennai,410054,Male,40-60,23173,360
Bangalore,410038,Female,40-60,36416,1474
Nagpur,400065,Female,20-40,27931,1795
Pune,53000,Female,40-60,64741,315
Nagpur,410067,Female,60-80,13258,1138
Mumbai,410067,Male,40-60,85464,1552
Kolkata,410054,Female,20-40,86892,929
Chennai,410067,Male,20-40,9143,230
Kolkata,400065,Male,40-60,26961,267
Chennai,410038,Male,60-80,24634,1016
Nagpur,410067,Female,60-80,21964,1604
Pune,400065,Male,60-80,9625,712
Chennai,560095,Female,20-40,26344,1765
Kolkata,400074,Male,20-40,96204,857
Mumbai,53000,Female,80+,21868,1125
Nagpur,410054,Male,20-40,95808,1336
Pune,410038,Male,80+,4286,960
Mumbai,410038,Male,60-80,23992,1552
Bangalore,560095,Male,80+,98007,831
Bangalore,410067,Female,60-80,9359,796
Mumbai,410038,Female,20-40,49608,665
Chennai,400065,Female,60-80,52379,827
Chennai,410067,Male,80+,84729,1762
Bangalore,410054,Female,40-60,5701,767
Bangalore,410054,Female,20-40,20245,427
Chennai,410038,Male,60-80,68559,372
Mumbai,410038,Female,60-80,29229,1304
Mumbai,410038,Female,60-80,69952,757
Bangalore,560095,Female,60-80,14979,1116
Chennai,560095,Female,40-60,52728,658
Chennai,560095,Female,20-40,91692,1409
Nagpur,410054,Female,20-40,85372,1263
Mumbai,400065,Female,20-40,55680,1559
Kolkata,53000,Female,60-80,86033,1719
Nagpur,400065,Male,40-60,59615,710
Pune,53000,Male,60-80,64903,972
Nagpur,560095,Male,20-40,24049,1059
Chennai,410054,Male,60-80,33432,1748
Mumbai,410067,Female,60-80,12575,1693
Mumbai,410038,Male,80+,82454,1448
Nagpur,400065,Male,20-40,70056,713
Bangalore,400065,Female,40-60,89404,565
Kolkata,410038,Male,20-40,66994,1318
Chennai,410054,Male,80+,22262,1168
Kolkata,400065,Female,60-80,92673,621
Kolkata,400074,Female,40-60,98208,1804
Nagpur,400074,Female,20-40,88444,870
Bangalore,410038,Male,20-40,30486,1245
Pune,560095,Male,20-40,36693,1155
Pune,400074,Female,40-60,68377,1350
Mumbai,53000,Female,60-80,56720,1821
Kolkata,53000,Male,80+,98780,1708
Pune,410054,Male,40-60,48345,828
Nagpur,560095,Male,20-40,99231,1069
Mumbai,400065,Female,80+,31408,322
Bangalore,560095,Male,80+,69933,790
Pune,560095,Female,60-80,37143,1066
Mumbai,410054,Female,80+,42220,1724
Kolkata,400065,Male,40-60,52906,1311
Pune,410067,Male,80+,25530,1081
Kolkata,410054,Female,20-40,40444,855
Bangalore,410067,Male,40-60,48532,548
Kolkata,410054,Male,60-80,23041,708
Chennai,410054,Male,60-80,87870,1849
Mumbai,400065,Male,80+,74883,1606
Mumbai,400074,Male,60-80,61389,1410
Pune,560095,Female,40-60,10661,1884
Bangalore,400074,Female,20-40,6712,777
Kolkata,410067,Male,60-80,92891,203
Nagpur,410038,Female,80+,32242,1076
Bangalore,400065,Female,20-40,91595,332
Chennai,410067,Male,40-60,31759,1506
Kolkata,560095,Male,20-40,43088,1786
Mumbai,410054,Female,80+,41319,861
Mumbai,560095,Male,80+,22834,861
Chennai,400074,Male,40-60,30997,1813
Pune,53000,Female,80+,66896,1771
Mumbai,410038,Male,40-60,10396,424
Pune,400074,Female,20-40,31759,330
Chennai,410038,Male,60-80,8274,1007
Mumbai,410067,Female,80+,63626,1623
Chennai,410038,Male,60-80,29608,913
Bangalore,400065,Female,20-40,72287,432
Bangalore,410038,Male,40-60,7965,1525
Pune,410067,Female,40-60,95368,354
Pune,410067,Female,20-40,73582,1578
Pune,53000,Female,60-80,10520,812
Bangalore,400074,Female,60-80,73327,1038
Pune,53000,Female,20-40,71656,804
Kolkata,560095,Male,20-40,84476,1405
Pune,400065,Female,40-60,74329,1669
Mumbai,410054,Male,60-80,46931,1348
Mumbai,410054,Female,80+,84419,713
Chennai,400065,Male,40-60,28295,1422
Chennai,410038,Female,40-60,92677,1070
Chennai,560095,Female,80+,51725,1590
Nagpur,410054,Male,80+,25406,207
Nagpur,400065,Female,60-80,57916,907
Bangalore,410054,Female,60-80,71395,891
Chennai,410067,Male,40-60,10482,448
Kolkata,400065,Female,60-80,80077,1587
Nagpur,410067,Female,40-60,36113,733
Pune,53000,Male,20-40,59857,481
Mumbai,53000,Female,20-40,92754,387
Kolkata,560095,Male,80+,98344,271
Chennai,560095,Male,40-60,24580,1746
Kolkata,560095,Female,80+,4185,423
Mumbai,410067,Female,80+,36040,668
Kolkata,400074,Male,40-60,13697,1755
Nagpur,410067,Female,40-60,31979,1044
Mumbai,410054,Male,40-60,57856,895
Bangalore,560095,Female,80+,98258,715
Bangalore,400074,Male,20-40,4637,1088
Kolkata,410038,Male,60-80,11629,938
Chennai,410054,Male,80+,61613,946
Kolkata,560095,Female,60-80,23553,251
Nagpur,400074,Male,80+,55639,1014
Kolkata,560095,Female,80+,83799,1883
Kolkata,400074,Male,40-60,63193,1175
Kolkata,410067,Male,20-40,69068,1142
Kolkata,400074,Male,40-60,95126,1140
Chennai,400065,Male,60-80,2533,1876
Kolkata,53000,Male,60-80,33141,1601
Chennai,410067,Male,60-80,64871,1583
Nagpur,53000,Male,80+,9362,924
Pune,410038,Male,40-60,3533,613
Chennai,410067,Male,40-60,34604,1621
Nagpur,410054,Male,40-60,95978,1796
Bangalore,410038,Male,60-80,43367,1291
Mumbai,560095,Female,20-40,42488,1377
Kolkata,410038,Female,80+,75510,997
Nagpur,400074,Female,20-40,90454,1548
Bangalore,400074,Female,20-40,59966,703
Bangalore,400065,Male,80+,83323,674
Pune,410067,Female,20-40,94073,1831
Mumbai,400074,Female,40-60,86117,1740
Kolkata,410038,Female,40-60,53359,1528
Pune,410054,Male,40-60,90388,1573
Kolkata,400065,Male,80+,33302,1072
Bangalore,400065,Male,60-80,85324,1141
Mumbai,410067,Female,20-40,58778,318
Bangalore,400065,Male,20-40,90593,957
Bangalore,53000,Female,40-60,40328,749
Pune,53000,Female,20-40,75863,225
Kolkata,410038,Male,20-40,99373,1605
Pune,410038,Female,20-40,41588,1557
Mumbai,400065,Male,80+,99751,1435
Nagpur,400074,Male,20-40,42343,1805
Chennai,410067,Female,20-40,27211,1715
Bangalore,400065,Female,20-40,84231,1354
Pune,53000,Female,60-80,21723,234
Bangalore,400074,Female,60-80,94763,833
Nagpur,410067,Male,40-60,62268,1215
Pune,400074,Male,60-80,64588,839
Bangalore,400074,Female,20-40,16787,1263
Bangalore,400074,Female,20-40,75340,270
Nagpur,410054,Female,80+,12976,678
Nagpur,410067,Female,60-80,19589,1804
Nagpur,410038,Female,80+,8140,1655
Mumbai,53000,Male,60-80,89912,1147
Kolkata,410054,Female,60-80,35104,243
Pune,400074,Female,20-40,87789,836
Kolkata,410054,Female,80+,94430,518
Mumbai,400065,Female,60-80,45186,603
Chennai,400065,Male,20-40,62762,707
Mumbai,410038,Male,20-40,16950,733
Nagpur,410067,Female,20-40,42573,376
Kolkata,400074,Female,40-60,16292,1668
Mumbai,400065,Female,40-60,12851,1188
Bangalore,410067,Female,20-40,41794,340
Chennai,400074,Male,20-40,49084,552
Mumbai,560095,Female,20-40,35916,204
Nagpur,400074,Female,60-80,98290,957
Bangalore,53000,Male,20-40,69561,1141
Chennai,410054,Female,20-40,62638,827
Bangalore,410067,Male,80+,79733,1415
Bangalore,410067,Male,80+,53181,549
Bangalore,400065,Female,80+,66513,359
Chennai,410038,Female,80+,88615,219
Pune,410054,Female,20-40,75991,1468
Mumbai,410054,Female,60-80,9640,695
Kolkata,410054,Female,20-40,46527,849
Chennai,53000,Female,20-40,8414,254
Nagpur,53000,Male,40-60,24585,732
Bangalore,53000,Male,80+,72464,1537
Kolkata,53000,Female,80+,47387,419
Pune,560095,Female,80+,20194,1237
Nagpur,410067,Female,20-40,49382,1480
Mumbai,410067,Female,20-40,6702,1782
Kolkata,560095,Female,40-60,57554,654
Chennai,53000,Female,80+,73585,373
Chennai,400074,Female,80+,43077,496
Nagpur,53000,Female,20-40,63753,1211
Bangalore,53000,Female,80+,86793,531
Pune,560095,Female,20-40,76206,1317
Bangalore,410067,Male,40-60,47588,650
Bangalore,400074,Male,40-60,75330,1842
Pune,400074,Female,60-80,21987,699
Bangalore,53000,Female,20-40,76097,1855
Mumbai,410038,Female,40-60,84576,1006
Chennai,560095,Female,20-40,96295,807
Bangalore,560095,Male,60-80,9818,591
Pune,410067,Male,60-80,13613,1528
Chennai,410038,Male,20-40,92606,503
Pune,410067,Male,60-80,99548,1391
Nagpur,410054,Female,20-40,79244,1658
Chennai,410054,Male,80+,61063,1447
Kolkata,400065,Male,60-80,38151,1074
Mumbai,410067,Female,40-60,17765,986
Chennai,400074,Female,40-60,45530,1095
Bangalore,410067,Male,60-80,27827,1174
Chennai,400065,Female,80+,97401,1371
Mumbai,400065,Female,40-60,94817,822
Mumbai,410067,Female,40-60,7800,1128
Kolkata,410054,Female,40-60,54916,1496
Mumbai,560095,Female,60-80,47940,1059
Bangalore,53000,Male,60-80,12443,1674
Nagpur,410038,Female,80+,19493,1778
Kolkata,560095,Male,80+,7531,992
Pune,400065,Female,40-60,82755,1120
Pune,400074,Male,20-40,56810,1437
Kolkata,53000,Male,60-80,19313,1531
Pune,410054,Female,40-60,37662,1736
Mumbai,560095,Male,80+,2906,1403
Bangalore,400065,Female,60-80,22125,1567
Chennai,560095,Female,80+,90531,1550
Kolkata,53000,Female,80+,90263,485
Nagpur,410067,Male,20-40,52635,1630
Pune,410067,Female,40-60,28363,1622
Chennai,400065,Male,80+,65727,315
Pune,400074,Male,20-40,40057,1069
Bangalore,53000,Male,80+,16939,1407
Nagpur,53000,Female,60-80,22341,260
Chennai,410038,Female,20-40,90976,1154
Mumbai,560095,Male,80+,66520,1810
Bangalore,410067,Female,80+,97405,493
Nagpur,410054,Male,20-40,45516,410
Nagpur,400065,Male,40-60,21483,1395
Mumbai,400065,Female,80+,60766,495
Mumbai,410038,Male,80+,54596,1571
Mumbai,410038,Male,80+,58588,1831
Mumbai,560095,Male,40-60,4005,1070
Mumbai,400074,Male,80+,13285,1687
Kolkata,410067,Male,20-40,82114,503
Bangalore,53000,Female,20-40,19963,933
Pune,400074,Female,40-60,53192,1013
Chennai,410067,Female,60-80,70620,1610
Chennai,410038,Female,40-60,5735,288
Bangalore,400074,Female,20-40,65604,383
Pune,560095,Female,80+,44661,720
Chennai,53000,Female,60-80,78156,1527
Bangalore,410038,Female,80+,16158,221
Nagpur,410054,Female,20-40,13841,1514
Kolkata,410054,Male,40-60,47627,1463
Bangalore,410054,Male,60-80,30969,1626
Bangalore,560095,Female,40-60,65857,977
Chennai,53000,Male,40-60,96589,450
Nagpur,410067,Female,80+,73815,1349
Mumbai,560095,Female,80+,25527,1003
Nagpur,410038,Female,20-40,44394,1555
Mumbai,400065,Male,60-80,30486,1127
Kolkata,410054,Male,20-40,15449,1761
Kolkata,400065,Male,20-40,10554,416
Nagpur,400074,Female,40-60,55620,1512
Bangalore,560095,Male,40-60,16780,1471
Mumbai,400074,Male,80+,35989,518
Mumbai,400074,Female,60-80,90212,566
Bangalore,53000,Female,60-80,86956,225
Chennai,53000,Female,20-40,98227,860
Nagpur,410038,Female,80+,60789,1295
Pune,410054,Male,20-40,7888,509
Chennai,53000,Female,40-60,22996,1455
Kolkata,410067,Male,60-80,23508,431
Bangalore,400074,Female,80+,94022,1444
Pune,410038,Male,80+,36860,319
Nagpur,560095,Male,60-80,40105,1634
Nagpur,53000,Female,20-40,75128,1201
Pune,400065,Female,80+,69195,682
Bangalore,53000,Female,20-40,41192,633
Mumbai,410038,Male,20-40,63415,351
Pune,560095,Female,60-80,18802,521
Kolkata,400065,Female,80+,57145,260
Kolkata,410067,Male,40-60,45330,495
Bangalore,53000,Male,20-40,84629,684
Bangalore,410067,Female,60-80,60036,434
Nagpur,410067,Female,60-80,98684,1647
Pune,410067,Male,20-40,3304,1657
Nagpur,560095,Male,20-40,14082,1606
Pune,410067,Male,40-60,61574,1866
Chennai,410038,Male,20-40,58480,882
Nagpur,400074,Female,60-80,70080,1810
Nagpur,560095,Female,20-40,60059,777
Nagpur,410067,Female,20-40,55028,1808
Bangalore,410038,Female,40-60,53211,651
Nagpur,400065,Male,20-40,54815,1646
Pune,400065,Female,80+,6486,729
Pune,560095,Male,40-60,4827,1746
Mumbai,410054,Male,40-60,46593,287
Kolkata,53000,Female,20-40,15639,1280
Mumbai,400074,Male,80+,42381,1897
Bangalore,53000,Male,20-40,45017,1005
Kolkata,400065,Male,80+,18958,603
Pune,53000,Female,40-60,64725,829
Pune,560095,Female,40-60,55697,1516
Pune,410054,Female,80+,56636,753
Mumbai,560095,Female,80+,14482,618
Pune,400065,Male,20-40,73365,1462
Bangalore,560095,Male,40-60,63811,1000
Chennai,410054,Female,60-80,6000,1882
Mumbai,400065,Female,20-40,55288,910
Nagpur,560095,Female,20-40,50843,1191
Kolkata,400065,Female,40-60,81674,1312
Pune,410054,Female,80+,85571,571
Pune,400074,Female,80+,52897,519
Nagpur,400065,Male,80+,24268,501
Kolkata,53000,Male,40-60,61614,228
Chennai,53000,Male,80+,30314,1593
Mumbai,410038,Male,80+,99143,1442
Kolkata,410054,Female,60-80,28709,1576
Kolkata,410067,Female,40-60,50700,1422
Bangalore,53000,Female,20-40,26877,1000
Mumbai,400074,Female,20-40,54958,547
Kolkata,400074,Female,60-80,10253,449
Nagpur,410038,Male,40-60,13954,378
Kolkata,400065,Male,80+,8773,590
Chennai,400065,Male,60-80,74804,616
Bangalore,560095,Male,40-60,56056,1628
Nagpur,410054,Male,40-60,22425,1623
Mumbai,53000,Female,80+,17019,365
Bangalore,410038,Female,80+,19671,892
Pune,410038,Female,80+,70576,1852
Pune,410038,Male,60-80,65416,332
Pune,410054,Female,40-60,96019,431
Pune,400074,Female,20-40,33627,1219
Nagpur,53000,Female,20-40,32544,1379
Nagpur,400065,Male,40-60,98046,960
Bangalore,410054,Female,60-80,52942,1626
Mumbai,410067,Male,80+,83943,1265
Nagpur,400074,Male,20-40,85854,1632
Nagpur,410038,Female,80+,68692,659
Chennai,410054,Male,40-60,30481,273
Mumbai,400065,Male,20-40,71957,1052
Bangalore,53000,Male,20-40,87418,1133
Nagpur,400065,Female,60-80,32661,728
Chennai,400074,Male,40-60,57139,572
Bangalore,560095,Male,60-80,21410,1867
Kolkata,53000,Female,80+,88325,1136
Kolkata,53000,Female,20-40,52122,371
Pune,53000,Male,60-80,4613,885
Pune,400074,Male,40-60,52783,1806
Pune,53000,Female,40-60,95277,1234
Chennai,400065,Male,20-40,3419,1661
Chennai,53000,Female,60-80,69966,1625
Kolkata,410054,Male,80+,72442,534
Chennai,400074,Male,80+,7197,1123
Chennai,400065,Female,40-60,67870,1531
Pune,53000,Female,60-80,12126,984
Pune,400074,Female,40-60,58796,361
Pune,410038,Male,20-40,43228,653
Nagpur,400074,Female,20-40,58002,1181
Pune,410067,Female,20-40,99446,478
Chennai,53000,Male,20-40,58827,1430
Kolkata,400074,Female,80+,92371,1642
Kolkata,410038,Female,60-80,10650,708
Kolkata,53000,Female,40-60,86901,1773
Kolkata,400065,Female,60-80,94714,550
Bangalore,410038,Female,40-60,27402,1830
Pune,410038,Female,60-80,33467,1122
Bangalore,410038,Female,20-40,96295,571
Nagpur,400065,Male,60-80,26753,1764
Nagpur,410054,Male,60-80,62796,661
Nagpur,560095,Male,20-40,28127,1073
Nagpur,53000,Male,40-60,17151,778
Chennai,400074,Male,40-60,23610,1706
Nagpur,410054,Male,60-80,95128,1565
Mumbai,410038,Female,60-80,40294,1264
Chennai,400065,Male,80+,47197,1674
Chennai,410054,Female,80+,65322,376
Mumbai,53000,Male,40-60,56250,631
Pune,400074,Female,20-40,74183,1303
Chennai,53000,Male,20-40,12221,1833
Chennai,410038,Female,80+,87410,1884
Kolkata,560095,Female,60-80,2155,701
Bangalore,560095,Female,40-60,96938,560
Nagpur,410067,Male,60-80,14960,1309
Pune,53000,Male,60-80,36960,649
Chennai,53000,Female,60-80,45309,1706
Bangalore,560095,Female,60-80,59169,1782
Mumbai,410054,Male,40-60,18960,867
Mumbai,410067,Female,80+,15651,276
Mumbai,410038,Male,80+,95293,503
Nagpur,410038,Female,40-60,59810,1600
Mumbai,410054,Male,80+,37178,1405
Bangalore,410054,Female,40-60,25931,1395
Pune,53000,Male,80+,94158,309
Chennai,560095,Male,40-60,13547,1861
Nagpur,400065,Female,20-40,53294,1717
Pune,400074,Male,60-80,38690,258
Kolkata,560095,Female,80+,94363,1836
Bangalore,400065,Male,20-40,47703,1168
Kolkata,53000,Female,80+,81043,706
Pune,560095,Female,80+,29280,612
Pune,400065,Male,80+,39124,1492
Bangalore,560095,Female,60-80,85659,660
Nagpur,53000,Female,60-80,35829,587
Chennai,410054,Male,20-40,56086,824
Kolkata,410067,Female,80+,39431,1547
Kolkata,53000,Female,80+,12003,943
Bangalore,410067,Female,60-80,80624,366
Chennai,410067,Male,40-60,90859,1206
Mumbai,400065,Male,20-40,74055,685
Bangalore,400065,Male,60-80,5115,523
Nagpur,560095,Male,20-40,82829,1175
Mumbai,400074,Female,60-80,36832,1666
Chennai,410038,Male,60-80,74782,1251
Mumbai,560095,Male,20-40,84251,745
Nagpur,410054,Male,40-60,53746,521
Pune,400074,Male,20-40,74468,810
Chennai,400065,Female,80+,32156,958
Kolkata,560095,Male,80+,40317,1503
Chennai,400065,Female,60-80,6709,1229
Kolkata,410038,Male,60-80,30658,1150
Nagpur,410038,Female,20-40,26882,1543
Bangalore,410038,Female,60-80,86753,1642
Chennai,400074,Female,20-40,6575,1053
Pune,53000,Male,60-80,50733,377
Kolkata,410038,Male,80+,76124,1248
Pune,410067,Male,20-40,77665,243
Kolkata,560095,Female,20-40,48835,878
Nagpur,400074,Male,60-80,91685,1173
Mumbai,410038,Male,20-40,94445,435
Mumbai,560095,Female,80+,52691,1683
Pune,410054,Female,40-60,67085,1853
Nagpur,400065,Male,80+,25345,1653
Mumbai,560095,Male,60-80,21483,1661
Bangalore,400074,Male,20-40,78136,1696
Mumbai,410054,Female,40-60,51324,884
Pune,53000,Male,60-80,80860,774
Chennai,410067,Female,20-40,11760,1067
Kolkata,410067,Female,80+,12037,886
Pune,410067,Male,40-60,76193,1055
Kolkata,560095,Female,60-80,18924,889
Chennai,410067,Female,40-60,46276,286
Nagpur,560095,Male,20-40,86776,724
Nagpur,53000,Female,40-60,63118,727
Kolkata,410038,Female,20-40,21203,1007
Nagpur,400074,Female,60-80,62096,822
Kolkata,53000,Female,80+,32535,1185
Bangalore,53000,Male,80+,68264,1297
Nagpur,400074,Male,20-40,54850,963
Nagpur,400065,Male,20-40,97737,1788
Nagpur,410038,Male,20-40,96387,308
Mumbai,560095,Female,20-40,90279,634
Nagpur,400065,Female,40-60,68265,1020
Nagpur,400065,Female,60-80,68594,1779
Nagpur,400074,Female,80+,24200,290
Chennai,53000,Male,20-40,63474,462
Kolkata,560095,Male,20-40,31375,1253
Chennai,400065,Female,60-80,74963,1563
Chennai,400065,Male,40-60,12226,969
Bangalore,400065,Female,80+,82960,532
Mumbai,400074,Male,20-40,92184,1854
Kolkata,410067,Female,20-40,56075,598
Pune,53000,Female,20-40,25416,1152
Nagpur,560095,Female,40-60,39251,300
Pune,410067,Male,20-40,32205,1793
Pune,410038,Male,40-60,76699,1845
Bangalore,560095,Female,40-60,62262,654
Bangalore,410038,Female,20-40,56598,1400
Kolkata,560095,Male,40-60,97027,1440
Kolkata,410038,Male,60-80,63517,1546
Kolkata,400065,Male,80+,56120,939
Bangalore,560095,Male,40-60,56449,937
Mumbai,410054,Female,40-60,80425,696
Bangalore,410054,Male,20-40,71662,1284
Bangalore,560095,Female,40-60,56807,1328
Pune,400074,Female,80+,74345,403
Kolkata,560095,Female,40-60,16344,573
Chennai,410054,Female,20-40,69396,1144
Mumbai,410038,Female,80+,5697,1200
Mumbai,400074,Female,40-60,80333,1853
Bangalore,410038,Male,40-60,92070,1122
Pune,410067,Male,60-80,86420,1075
Pune,400065,Male,20-40,4516,1790
Chennai,53000,Male,20-40,24218,215
Kolkata,560095,Female,60-80,5939,1206
Mumbai,410038,Male,80+,9423,1642
Mumbai,400074,Female,20-40,12847,729
Mumbai,53000,Female,80+,89283,1673
Mumbai,400065,Male,20-40,20673,1014
Mumbai,400065,Male,80+,16204,826
Mumbai,400065,Male,40-60,66336,1543
Kolkata,53000,Male,60-80,45433,626
Chennai,410054,Female,40-60,67652,721
Mumbai,400065,Female,60-80,72966,1738
Bangalore,410054,Female,40-60,62829,1759
Pune,410054,Male,40-60,94223,1611
Nagpur,410067,Female,60-80,26175,694
Chennai,400065,Male,20-40,27303,609
Kolkata,400074,Male,60-80,46759,1568
Chennai,400074,Female,60-80,80201,1084
Nagpur,410038,Female,20-40,7287,719
Nagpur,400065,Female,20-40,26515,840
Nagpur,400065,Female,80+,3333,929
Kolkata,53000,Female,40-60,38853,1680
Kolkata,53000,Female,20-40,87184,1039
